scheme,beta
paired,0.2875853478908539
paired,0.33386528491973877
paired,0.3495585322380066
paired,0.2988513112068176
paired,0.3365963399410248
paired,0.28957056999206543
paired,0.3398767411708832
paired,0.2994540333747864
paired,0.3134581446647644
paired,0.2800610363483429
paired,0.33044949173927307
paired,0.3525742292404175
paired,0.28622955083847046
paired,0.3221920132637024
paired,0.34046676754951477
paired,0.3445603847503662
paired,0.3361469507217407
paired,0.315978467464447
paired,0.2871871590614319
paired,0.20464202761650085
paired,0.33651721477508545
paired,0.28726524114608765
paired,0.26744377613067627
paired,0.2686237692832947
paired,0.2603684663772583
paired,0.32788804173469543
paired,0.28169411420822144
paired,0.3227519690990448
paired,0.3319033086299896
paired,0.3185873031616211
paired,0.34493112564086914
paired,0.3604525923728943
unpaired,0.13933990895748138
unpaired,0.10618321597576141
unpaired,0.16058675944805145
unpaired,0.17256049811840057
unpaired,0.18050867319107056
unpaired,0.17393678426742554
unpaired,0.17463842034339905
unpaired,0.12813161313533783
unpaired,0.14834891259670258
unpaired,0.16522526741027832
unpaired,0.15986862778663635
unpaired,0.19971923530101776
unpaired,0.21379850804805756
unpaired,0.16859294474124908
unpaired,0.1630430519580841
unpaired,0.1932932436466217
unpaired,0.1589049994945526
unpaired,0.15467114746570587
unpaired,0.21967162191867828
unpaired,0.1271267682313919
unpaired,0.1379617303609848
unpaired,0.11341479420661926
unpaired,0.1405247300863266
unpaired,0.1693478673696518
unpaired,0.2000925987958908
unpaired,0.1594662368297577
unpaired,0.1274571418762207
unpaired,0.18167132139205933
unpaired,0.14616280794143677
unpaired,0.1484544575214386
unpaired,0.14663159847259521
unpaired,0.1430159956216812
