scheme,beta
paired,0.027237803175426414
paired,0.012896661680831107
paired,0.010416352482946263
paired,0.048123426570364544
paired,0.02378884879050521
paired,0.08129956173740625
paired,0.019008848452584104
paired,0.008772706088568172
paired,0.005386448106588374
paired,0.04672583614390642
paired,0.02654219206213419
paired,0.008971354550608865
paired,0.006527803719580855
paired,0.0003781749165654546
paired,0.040345337710264106
paired,0.06631996053522116
paired,0.023303015182582845
paired,0.0036342242085544724
paired,0.01080984433510444
paired,0.05122711771786337
paired,0.02196780882017706
paired,0.027430766747928603
paired,0.05481789805580116
paired,0.09104140849083153
paired,0.01815058092411296
paired,0.03022733891851148
paired,0.007488021664737729
paired,0.0023511041567845174
paired,0.09862665895072077
paired,0.048736810747693156
paired,0.011754320764163387
paired,0.036121899180464434
unpaired,0.019374828604252024
unpaired,0.032440294233851884
unpaired,0.02378860498148811
unpaired,0.008587382855481418
unpaired,0.05651731568397114
unpaired,0.02403075688014663
unpaired,0.03458268967264902
unpaired,0.03784547767683299
unpaired,0.0027191357506518334
unpaired,0.06647789537369261
unpaired,0.028248259683892177
unpaired,0.02975719499694031
unpaired,0.002693260517757482
unpaired,0.00956545888624823
unpaired,0.018776037962855974
unpaired,0.01723862993724272
unpaired,0.003321530987236865
unpaired,0.026794936423899428
unpaired,0.005555610068283409
unpaired,0.02096161483617256
unpaired,0.029145082852780703
unpaired,0.008083174012553023
unpaired,0.009863492000612803
unpaired,0.016990287948247137
unpaired,0.009933587496519476
unpaired,0.06247402736383933
unpaired,0.020214432381559597
unpaired,0.06931381025435437
unpaired,0.02564802276256673
unpaired,0.04367255778838598
unpaired,0.01957917212315197
unpaired,0.06779897449994185
