U,snr_db,edma_mc,blind,oma,mse_mc
2,0.0,0.0067459622753358985,0.005619067173648297,0.0028163887856167778,0.9976647585630417
2,2.5,0.011675481754301935,0.009969612776119413,0.005006425437490073,0.9959617620706558
2,5.0,0.020286535908117426,0.017657570045582938,0.008896821012114422,0.9929938805103302
2,7.5,0.035291135414103295,0.03117756291292608,0.015802100105602065,0.9878435188531876
2,10.0,0.06125380524795852,0.054752877862610065,0.028040940629869258,0.978994796872139
2,12.5,0.10554787426027339,0.09526158699989311,0.04967759953004671,0.9640808624029159
2,15.0,0.17922846076711016,0.16314404591732876,0.08775733805059951,0.9397740066051483
2,17.5,0.29671520331202866,0.27228552723458505,0.15425664820473364,0.9022770518064499
2,20.0,0.47207515868714434,0.4366911765474922,0.2688526404418522,0.8490741294622421
2,22.5,0.7100570759041679,0.6617728169555368,0.46202930580118473,0.7818541771173477
2,25.0,0.9952787609812811,0.9331238669104754,0.7765249721523131,0.708264736533165
2,27.5,1.290911785811443,1.2146443868700316,1.2629750132730075,0.639290742278099
2,30.0,1.5545191724506118,1.4647566493411088,1.9659871493886203,0.5834740561246872
3,0.0,0.008221550750832831,0.008412218630107837,0.002816846908845676,0.9981022214889527
3,2.5,0.015313679039211471,0.014902926454674073,0.005007872928745025,0.9964680409431458
3,5.0,0.028029675597543307,0.026325253299532562,0.00890139152557443,0.9935446953773499
3,7.5,0.050514313628626004,0.04626641612972433,0.015816514922095765,0.988396560549736
3,10.0,0.08952942310946198,0.08059981755804599,0.028086309611073952,0.9795267921686173
3,12.5,0.15534005610649262,0.13832515321163041,0.04981987507531682,0.9647452771663666
3,15.0,0.2615951480089572,0.2316168228614546,0.08820067087182441,0.9413490122556687
3,17.5,0.4221435294251369,0.3731878021467334,0.15562283620381148,0.9070698082447052
3,20.0,0.6428146293469728,0.5688074586563354,0.27298359666177824,0.8619812881946564
3,22.5,0.9107931284704225,0.8069275801266587,0.4741321857975819,0.8102293717861175
3,25.0,1.192151455674711,1.0559460071626627,0.8102498992888099,0.7592338293790817
3,27.5,1.4460078396289984,1.2782661617838726,1.3502134677042328,0.7159830737113952
3,30.0,1.6453250009668556,1.4503691419311937,2.1701295882547527,0.6837582939863205
4,0.0,0.015142645594341335,0.011194533410694072,0.002817076044986573,0.9973794192075729
4,2.5,0.02657168051302456,0.01980238285260359,0.005008597092951442,0.9954060631990432
4,5.0,0.04649602868391863,0.03488813263113353,0.008903679130992838,0.9919752240180969
4,7.5,0.0808285062062145,0.0610360844265235,0.015823735486660634,0.9860911220312119
4,10.0,0.1387823700129495,0.10550166169718982,0.028109067575874017,0.9762377244234085
4,12.5,0.23327828100624443,0.17872115676402342,0.04989142100177373,0.9603821069002152
4,15.0,0.3790651258653871,0.29313196378582485,0.08842458349643963,0.9364239370822907
4,17.5,0.5861777540534772,0.458064715640174,0.15631809220986412,0.9034117364883423
4,20.0,0.8490808651568857,0.6702163879182615,0.27511311194165045,0.8631778705120087
4,22.5,1.1397156040760281,0.9064855445133952,0.48050543882991376,0.8207820576429367
4,25.0,1.4160565809869674,1.1309122590875245,0.8286132554549861,0.7824041104316711
4,27.5,1.6433747432527392,1.3140736832668964,1.4000909956579182,0.752183369398117
4,30.0,1.808776977801607,1.4458968914537418,2.294588749973288,0.7309303051233291
